Grating Beta,	Calculation Beta,	Calculation Freq
35903.9160,	35681.6675,	4987592496839.1553
35903.9160,	35693.3838,	4988220815369.8730
35903.9160,	35705.1011,	4988849133900.5918
35903.9160,	35716.8193,	4989477452431.3096
35903.9160,	35728.5384,	4990105770962.0273
35903.9160,	35740.2584,	4990734089492.7451
35903.9160,	35751.9794,	4991362408023.4629
35903.9160,	35763.7014,	4991990726554.1816
35903.9160,	35775.4242,	4992619045084.8984
35903.9160,	35787.1481,	4993247363615.6172
35903.9160,	35798.8728,	4993875682146.3350
35903.9160,	35810.5985,	4994504000677.0527
35903.9160,	35822.3251,	4995132319207.7715
35903.9160,	35834.0526,	4995760637738.4893
35903.9160,	35845.7811,	4996388956269.2070
35903.9160,	35857.5105,	4997017274799.9248
35903.9160,	35869.2408,	4997645593330.6426
35903.9160,	35880.9721,	4998273911861.3604
35903.9160,	35892.7043,	4998902230392.0781
35903.9160,	35904.4374,	4999530548922.7969
35903.9160,	35916.1714,	5000158867453.5146
35903.9160,	35920.6847,	5000787185984.2324
35903.9160,	35932.4205,	5001415504514.9512
35903.9160,	35944.1574,	5002043823045.6689
35903.9160,	35955.8951,	5002672141576.3867
35903.9160,	35967.6338,	5003300460107.1045
35903.9160,	35979.3734,	5003928778637.8223
35903.9160,	35991.1139,	5004557097168.5400
35903.9160,	36002.8553,	5005185415699.2578
35903.9160,	36014.5977,	5005813734229.9766
35903.9160,	36026.3410,	5006442052760.6943
35903.9160,	36038.0852,	5007070371291.4121
35903.9160,	36049.8304,	5007698689822.1299
35903.9160,	36061.5764,	5008327008352.8477
35903.9160,	36073.3234,	5008955326883.5664
35903.9160,	36085.0713,	5009583645414.2842
35903.9160,	36096.8202,	5010211963945.0020
35903.9160,	36108.5699,	5010840282475.7197
35903.9160,	36120.3206,	5011468601006.4385
35903.9160,	36132.0722,	5012096919537.1562
35903.9160,	36136.6017,	5012725238067.8740
35903.9160,	36148.3551,	5013353556598.5918
35903.9160,	36160.1095,	5013981875129.3096
35903.9160,	36171.8647,	5014610193660.0273
35903.9160,	36183.6209,	5015238512190.7461
35903.9160,	36195.3780,	5015866830721.4639
35903.9160,	36207.1360,	5016495149252.1816
35903.9160,	36218.8949,	5017123467782.8994
35903.9160,	36230.6547,	5017751786313.6172
35903.9160,	36242.4155,	5018380104844.3359
35903.9160,	36254.1771,	5019008423375.0527
35903.9160,	35555.4763,	6063902139959.0186
35903.9160,	35568.7692,	6064530458489.7363
35903.9160,	35582.0632,	6065158777020.4541
35903.9160,	35595.3583,	6065787095551.1729
35903.9160,	35608.6545,	6066415414081.8896
35903.9160,	35621.9519,	6067043732612.6084
35903.9160,	35635.2503,	6067672051143.3262
35903.9160,	35648.5498,	6068300369674.0439
35903.9160,	35661.8505,	6068928688204.7627
35903.9160,	35675.1523,	6069557006735.4795
35903.9160,	35688.4552,	6070185325266.1982
35903.9160,	35701.7591,	6070813643796.9160
35903.9160,	35715.0642,	6071441962327.6328
35903.9160,	35728.3704,	6072070280858.3516
35903.9160,	35741.6777,	6072698599389.0693
35903.9160,	35754.9862,	6073326917919.7881
35903.9160,	35768.2957,	6073955236450.5059
35903.9160,	35781.6063,	6074583554981.2236
35903.9160,	35794.9180,	6075211873511.9424
35903.9160,	35808.2309,	6075840192042.6602
35903.9160,	35821.5448,	6076468510573.3779
35903.9160,	35834.8599,	6077096829104.0957
35903.9160,	35848.1760,	6077725147634.8135
35903.9160,	35861.4933,	6078353466165.5312
35903.9160,	35874.8116,	6078981784696.2490
35903.9160,	35888.1311,	6079610103226.9678
35903.9160,	35901.4516,	6080238421757.6855
35903.9160,	35914.7733,	6080866740288.4033
35903.9160,	35928.0960,	6081495058819.1211
35903.9160,	35941.4199,	6082123377349.8389
35903.9160,	35954.7448,	6082751695880.5566
35903.9160,	35968.0709,	6083380014411.2754
35903.9160,	35981.3980,	6084008332941.9922
35903.9160,	35994.7263,	6084636651472.7109
35903.9160,	36008.0556,	6085264970003.4287
35903.9160,	36021.3860,	6085893288534.1475
35903.9160,	36034.7176,	6086521607064.8652
35903.9160,	36048.0502,	6087149925595.5830
35903.9160,	36061.3839,	6087778244126.3018
35903.9160,	36074.7188,	6088406562657.0186
35903.9160,	36088.0547,	6089034881187.7363
35903.9160,	36101.3917,	6089663199718.4551
35903.9160,	36114.7298,	6090291518249.1729
35903.9160,	36118.4556,	6090919836779.8906
35903.9160,	36131.7958,	6091548155310.6084
35903.9160,	36145.1371,	6092176473841.3262
35903.9160,	36158.4794,	6092804792372.0449
35903.9160,	36171.8229,	6093433110902.7627
35903.9160,	36185.1674,	6094061429433.4805
35903.9160,	36198.5131,	6094689747964.1992
35903.9160,	36211.8598,	6095318066494.9160
35903.9160,	36225.2076,	6095946385025.6338
35903.9160,	36238.5565,	6096574703556.3525
35903.9160,	36251.9065,	6097203022087.0703
